"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-01","0.01",,"44","40"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-02","0.07",,"44","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-03","0.29",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-04","0.25",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-05","0.57",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-06","0.24",,"44","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-07","0.07",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-08","0.32",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-09","0.00",,"46","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-10","0.76",,"46","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-11","0.37",,"44","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-12","0.46",,"44","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-13","0.89",,"39","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-14","0.53",,"47","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-15","0.79",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-16","0.31",,"47","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-17","0.46",,"46","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-18","1.50",,"48","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-19","0.29",,"42","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-20","0.02",,"38","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-21","0.01",,"41","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-22","0.01",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-23","0.29",,"38","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-24","0.01",,"39","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-25","0.00",,"37","28"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-26","0.00",,"36","24"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-27","0.00",,"30","23"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-28","0.00",,"36","22"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-29","0.00",,"40","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-30","0.00",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-01-31","0.00",,"43","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-01","0.17",,"38","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-02","0.00",,"38","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-03","0.44",,"40","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-04","0.00",,"39","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-05","0.17",,"37","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-06","0.00",,"37","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-07","0.00",,"36","27"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-08","0.01",,"30","16"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-09","0.00",,"17","13"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-10","0.00",,"30","12"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-11","0.00",,"37","24"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-12","0.00",,"39","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-13","0.00",,"38","26"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-14","0.00",,"37","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-15","0.00",,"35","26"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-16","0.17",,"38","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-17","0.00",,"43","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-18","0.33",,"43","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-19","0.60",,"42","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-20","1.44",,"44","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-21","0.43",,"44","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-22","0.82",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-23","0.07",,"38","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-24","0.04",,"39","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-25","0.42",,"42","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-26","0.03",,"43","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-27","1.45",,"44","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-02-28","0.93",,"45","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-01","0.47",,"41","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-02","0.63",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-03","0.20",,"41","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-04","0.07",,"43","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-05","0.35",,"43","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-06","0.01",,"43","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-07","0.00",,"47","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-08","0.28",,"40","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-09","0.00",,"41","28"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-10","0.15",,"40","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-11","0.08",,"41","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-12","0.10",,"37","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-13","0.00",,"35","27"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-14","0.00",,"34","23"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-15","1.77",,"40","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-16","0.21",,"42","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-17","0.07",,"43","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-18","0.00",,"40","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-19","0.24",,"37","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-20","0.00",,"39","29"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-21","0.53",,"43","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-22","0.22",,"42","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-23","0.92",,"42","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-24","0.20",,"40","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-25","0.21",,"41","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-26","0.52",,"42","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-27","0.56",,"39","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-28","0.01",,"41","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-29","0.47",,"41","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-30","0.83",,"41","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-03-31","1.18",,"41","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-01","0.28",,"36","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-02","0.13",,"38","33"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-03","0.10",,"41","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-04","0.19",,"41","35"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-05","0.71",,"40","34"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-06","0.17",,"38","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-07","0.00",,"41","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-08","0.59",,"39","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-09","0.26",,"39","32"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-10","0.08",,"36","30"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-11","0.00",,"41","31"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-12","0.12",,"41","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-13","0.31",,"45","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-14","0.06",,"45","40"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-15","0.00",,"48","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-16","0.00",,"50","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-17","0.00",,"56","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-18","0.00",,"67","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-19","0.00",,"61","46"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-20","0.00",,"51","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-21","0.00",,"57","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-22","0.00",,"52","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-23","0.00",,,"37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-24","0.00",,"63","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-25","0.00",,"60","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-26","0.00",,"53","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-27","0.23",,"50","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-28","0.17",,"51","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-29","0.94",,"48","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-04-30","0.79",,"47","43"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-01","0.06",,"48","37"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-02","0.00",,"50","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-03","0.38",,"49","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-04","0.37",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-05","0.00",,"55","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-06","0.03",,"63","46"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-07","0.00",,"56","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-08","0.07",,"50","46"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-09","0.12",,"49","43"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-10","0.00",,"52","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-11","0.03",,"49","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-12","0.14",,"49","43"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-13","0.33",,"47","43"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-14","0.78",,"49","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-15","0.32",,"48","42"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-16","0.02",,"49","39"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-17","0.00",,"52","36"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-18","0.00",,"56","38"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-19","0.00",,"57","46"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-20","0.00",,"52","41"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-21","0.38",,"53","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-22","0.63",,"49","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-23","0.07",,"53","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-24","0.01",,"50","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-25","0.05",,"51","43"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-26","0.00",,"51","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-27","0.00",,"51","44"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-28","0.32",,"49","45"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-29","0.03",,"57","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-30","0.17",,"58","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-05-31","0.79",,"58","51"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-01","0.02",,"56","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-02","0.22",,"53","49"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-03","0.50",,"51","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-04","0.05",,"56","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-05","0.01",,"58","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-06","0.00",,"54","48"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-07","0.00",,"58","48"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-08","0.00",,"59","46"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-09","0.00",,"53","49"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-10","0.00",,"55","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-11","0.00",,"59","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-12","0.00",,"61","47"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-13","0.00",,"67","49"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-14","0.00",,"64","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-15","0.05",,"58","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-16","0.00",,"60","52"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-17","0.00",,"66","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-18","0.08",,"58","52"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-19","0.00",,"68","49"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-20","0.72",,"59","52"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-21","0.08",,"55","50"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-22","0.02",,"56","49"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-23","0.95",,"63","52"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-24","1.51",,"63","55"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-25","0.06",,"59","55"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-26","0.00",,"63","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-27","0.00",,"78","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-28","0.00",,"75","57"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-29","0.00",,"61","54"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-06-30","0.00",,"62","53"
"USW00025333","SITKA AIRPORT, AK US","57.04746","-135.36703","6.0","2021-07-01","0.01",,"61","53"
